count,cpu_memory_usage,cpu_time_total_us,device_memory_usage,device_time_total_us,input_shapes,key,self_cpu_time_total_us,self_device_time_total_us,stack
1,0,831410.197,0,0,"""""",threading.py(1032): _bootstrap,1.5100000000093132,0,
1,0,831408.687,0,0,"""""",threading.py(1075): _bootstrap_inner,3.0429999999469146,0,
1,0,831405.6440000001,0,0,"""""",tqdm/_monitor.py(69): run,1.0080000000307336,0,
1,0,831404.636,0,0,"""""",threading.py(655): wait,2.2630000000353903,0,
1,0,831402.373,0,0,"""""",threading.py(359): wait,831402.373,0,
1,0,831393.304,0,66829.80000002924,"""""",torch_profiler_generate_trace.py(921): <module>,3.555999999982305,0.0,
1,0,831389.748,0,66829.80000002924,"""""",torch_profiler_generate_trace.py(820): main,-45.41400000010617,0.0,
1,0,139.039,0,0,"""""",torch/profiler/profiler.py(927): __enter__,0.8269999999999982,0,
1,0,138.212,0,0,"""""",torch/profiler/profiler.py(937): start,2.570999999999998,0,
1,0,135.641,0,0,"""""",torch/profiler/profiler.py(993): _transit_action,1.778999999999968,0,
1,0,133.86200000000002,0,0,"""""",torch/profiler/profiler.py(284): start_trace,28.450000000000017,0,
1,0,71.39099999999999,0,0,"""""",torch/autograd/profiler.py(405): _start_trace,67.99799999999999,0,
2,0,4.306999999989756,0,0,"""""",<built-in function perf_counter_ns>,4.306999999989756,0,
3,0,12.811999999999983,0,0,"""""",torch/profiler/profiler.py(433): add_metadata_json,8.810999999999979,0,
3,0,4.001000000000005,0,0,"""""",<built-in method _add_metadata_json of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x7147ab1fecb0>,4.001000000000005,0,
1,0,0.8199999999999932,0,0,"""""",<built-in method kineto_available of pybind11_builtins.pybind11_detail_function_record_v1_system_libstdcpp_gxx_abi_1xxx_use_cxx11_abi_1 object at 0x7147ab1fecf0>,0.8199999999999932,0,
1,0,18.021000000000015,0,0,"""""",torch/profiler/profiler.py(448): _get_distributed_info,8.523000000000025,0,
1,0,3.850999999999999,0,0,"""""",torch/distributed/__init__.py(17): is_available,2.673000000000002,0,
296,0,197.82499999915453,0,0,"""""",<built-in function hasattr>,197.82499999915453,0,
1,0,5.646999999999991,0,0,"""""",torch/distributed/distributed_c10d.py(1350): is_initialized,3.809999999999974,0,
1,0,1.8370000000000175,0,0,"""""",torch/distributed/distributed_c10d.py(773): WORLD,1.467000000000013,0,
1,0,0.37000000000000455,0,0,"""""",torch/distributed/distributed_c10d.py(644): default_pg,0.37000000000000455,0,
1451,0,524.0779999993425,0,0,"""""",<built-in function getattr>,497.58999999941227,0,
50,0,12.594999999853997,0,0,"""""",<built-in method items of dict object at 0x71477c568580>,12.594999999853997,0,
124,0,515.5330000009382,0,0,"""""",contextlib.py(299): helper,207.09600000032566,0,
124,0,308.4370000006125,0,0,"""""",contextlib.py(104): __init__,254.9610000012837,0,
124,0,3946.5779999999986,0,0,"""""",contextlib.py(132): __enter__,119.09799999951963,0,
261,0,9891.381999999783,0,0,"""""",<built-in function next>,361.54100000052904,0,
124,0,3721.9069999995963,0,0,"""""",torch_profiler_generate_trace.py(126): record_scope,315.29100000082974,0,
124,0,736.2259999991927,0,0,"""""",torch/autograd/profiler.py(859): __init__,314.57900000051745,0,
126,0,522.2889999994658,0,0,"""""",typing.py(392): inner,200.89799999946575,0,
2,0,318.327,0,0,"""""",typing.py(515): __getitem__,4.16399999999993,0,
1,0,201.96800000000002,0,0,"""""",typing.py(747): Optional,8.928000000000054,0,
1,0,0.5380000000000109,0,0,"""""",typing.py(494): __repr__,0.5380000000000109,0,
7,0,221.35300000000007,0,0,"""""",typing.py(175): _type_check,45.845999999997275,0,
7,0,148.62999999999948,0,0,"""""",typing.py(166): _type_convert,13.830999999999108,0,
2198,0,1572.9570000007868,0,0,"""""",<built-in function isinstance>,859.8780000008326,0,
5,0,133.50599999999986,0,0,"""""",typing.py(892): __init__,11.93800000000033,0,
502,0,113.22900000005342,0,0,"""""",<built-in method startswith of str object at 0x7147ab12d890>,113.22900000005342,0,
5,0,118.65099999999956,0,0,"""""",<built-in function compile>,118.65099999999956,0,
49,0,24.249000000002184,0,0,"""""",typing.py(962): __eq__,12.431000000004701,0,
2,0,3.709000000000003,0,0,"""""",typing.py(971): __hash__,3.065999999999974,0,
3,0,0.9649999999273859,0,0,"""""",<built-in function hash>,0.9649999999273859,0,
1,0,112.19500000000005,0,0,"""""",typing.py(694): Union,20.266999999999996,0,
3,0,15.549000000000035,0,0,"""""",typing.py(730): <genexpr>,2.2730000000000246,0,
1,0,14.041000000000054,0,0,"""""",typing.py(345): _remove_dups_flatten,7.537000000000035,0,
1988,0,377.006000000031,0,0,"""""",<built-in method append of list object at 0x71477c56a800>,377.006000000031,0,
1,0,5.287000000000035,0,0,"""""",typing.py(317): _deduplicate,2.576000000000022,0,
1,0,2.7110000000000127,0,0,"""""",<built-in method fromkeys of type object at 0x5a26c6b79540>,2.066000000000031,0,
318,0,98.63499999954513,0,0,"""""",<built-in function len>,97.0479999996038,0,
1,0,61.00199999999995,0,0,"""""",typing.py(1269): __init__,13.757999999999925,0,
1,0,17.798000000000002,0,0,"""""",typing.py(1174): __init__,4.338999999999999,0,
6,0,17.795999999999992,0,0,"""""",typing.py(1215): __setattr__,9.48900000000009,0,
6,0,8.306999999999903,0,0,"""""",typing.py(1161): _is_dunder,5.031999999999812,0,
45,0,27.022000000030573,0,0,"""""",<built-in method endswith of str object at 0x5a26c6b93118>,27.022000000030573,0,
3,0,0.8020000000000209,0,0,"""""",typing.py(1273): <genexpr>,0.8020000000000209,0,
1,0,24.15500000000003,0,0,"""""",typing_extensions.py(3228): _collect_parameters,8.414999999999964,0,
1,0,8.756000000000029,0,0,"""""",typing_extensions.py(3143): _has_generic_or_protocol_as_origin,7.569999999999993,0,
1,0,0.37000000000000455,0,0,"""""",<built-in function _getframe>,0.37000000000000455,0,
1322,0,304.28299999966134,0,0,"""""",<built-in method get of dict object at 0x7149e2d37500>,302.399999999747,0,
1,0,5.537000000000035,0,0,"""""",typing_extensions.py(3165): _is_unpacked_typevartuple,1.9740000000000464,0,
1,0,3.562999999999988,0,0,"""""",typing.py(2344): get_origin,2.913000000000011,0,
124,0,24.22699999920883,0,0,"""""",torch/jit/__init__.py(129): annotate,24.22699999920883,0,
124,0,2670.389999999574,0,0,"""""",torch/autograd/profiler.py(872): __enter__,336.64099999935263,0,
124,0,2333.749000000221,0,0,"""""",torch/_ops.py(1263): __call__,98.90800000089394,0,
